K,Accuracy
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.9090909090909091
12,0.9166666666666666
13,0.9230769230769231
14,0.8571428571428571
15,0.8666666666666667
16,0.875
17,0.8235294117647058
18,0.7777777777777778
19,0.7894736842105263
20,0.8
21,0.8095238095238095
22,0.8181818181818182
23,0.8260869565217391
24,0.7916666666666666
25,0.76
26,0.7307692307692307
27,0.7037037037037037
28,0.7142857142857143
29,0.7241379310344828
30,0.7333333333333333
31,0.7419354838709677
32,0.75
33,0.7575757575757576
34,0.7647058823529411
35,0.7714285714285715
36,0.7777777777777778
37,0.7837837837837838
38,0.7894736842105263
39,0.7948717948717948
40,0.775
41,0.7560975609756098
42,0.7619047619047619
43,0.7674418604651163
44,0.75
45,0.7555555555555555
46,0.7608695652173914
47,0.7659574468085106
48,0.75
49,0.7346938775510204
50,0.74
51,0.7450980392156863
52,0.75
53,0.7358490566037735
54,0.7407407407407407
55,0.7454545454545455
56,0.75
57,0.7543859649122807
58,0.7586206896551724
59,0.7627118644067796
60,0.7666666666666667
61,0.7704918032786885
62,0.7580645161290323
63,0.746031746031746
64,0.75
65,0.7538461538461538
66,0.7424242424242424
67,0.7313432835820896
68,0.7352941176470589
69,0.7391304347826086
70,0.7428571428571429
71,0.7464788732394366
72,0.7361111111111112
73,0.726027397260274
74,0.7162162162162162
75,0.7066666666666667
76,0.6973684210526315
77,0.7012987012987013
78,0.7051282051282052
79,0.7088607594936709
80,0.7125
81,0.7037037037037037
82,0.6951219512195121
83,0.6867469879518072
84,0.6785714285714286
85,0.6705882352941176
86,0.6744186046511628
87,0.6781609195402298
88,0.6818181818181818
89,0.6853932584269663
90,0.6888888888888889
91,0.6923076923076923
92,0.6956521739130435
93,0.6989247311827957
94,0.6914893617021277
95,0.6947368421052632
96,0.6979166666666666
97,0.7010309278350515
98,0.7040816326530612
99,0.696969696969697
100,0.69
