K,Accuracy
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,0.9090909090909091
12,0.9166666666666666
13,0.9230769230769231
14,0.8571428571428571
15,0.8666666666666667
16,0.875
17,0.8823529411764706
18,0.8333333333333334
19,0.8421052631578947
20,0.85
21,0.8571428571428571
22,0.8181818181818182
23,0.8260869565217391
24,0.8333333333333334
25,0.84
26,0.8461538461538461
27,0.8518518518518519
28,0.8214285714285714
29,0.8275862068965517
30,0.8
31,0.7741935483870968
32,0.78125
33,0.7878787878787878
34,0.7941176470588235
35,0.8
36,0.8055555555555556
37,0.7837837837837838
38,0.7894736842105263
39,0.7948717948717948
40,0.8
41,0.8048780487804879
42,0.7857142857142857
43,0.7906976744186046
44,0.7954545454545454
45,0.8
46,0.782608695652174
47,0.7659574468085106
48,0.7708333333333334
49,0.7551020408163265
50,0.76
51,0.7647058823529411
52,0.7692307692307693
53,0.7735849056603774
54,0.7592592592592593
55,0.7454545454545455
56,0.75
57,0.7368421052631579
58,0.7241379310344828
59,0.711864406779661
60,0.7
61,0.6885245901639344
62,0.6935483870967742
63,0.6984126984126984
64,0.6875
65,0.676923076923077
66,0.6818181818181818
67,0.6716417910447762
68,0.6617647058823529
69,0.6521739130434783
70,0.6428571428571429
71,0.6338028169014085
72,0.625
73,0.6301369863013698
74,0.6351351351351351
75,0.64
76,0.6447368421052632
77,0.6493506493506493
78,0.6410256410256411
79,0.6455696202531646
80,0.65
81,0.654320987654321
82,0.6463414634146342
83,0.6506024096385542
84,0.6428571428571429
85,0.6352941176470588
86,0.6395348837209303
87,0.6436781609195402
88,0.6477272727272727
89,0.651685393258427
90,0.6555555555555556
91,0.6483516483516484
92,0.6413043478260869
93,0.6451612903225806
94,0.6382978723404256
95,0.631578947368421
96,0.625
97,0.6185567010309279
98,0.6122448979591837
99,0.6060606060606061
100,0.61
